VSR-LKH+Neuro(feat),2000,ALPHA,trials,100,100,32447665.056,26771.043152999988
LKH,2000,ALPHA,trials,1000,1000,32448926.521,32848.24186599996
VSR-LKH+Neuro(feat),2000,ALPHA,trials,1000,1000,32446622.175,240617.24944600015
LKH,2000,ALPHA,timelimit,1,1,32484517.489,6356.030113000004
VSR-LKH+Neuro(feat),2000,ALPHA,timelimit,1,24,32451035.142,6475.300804000003
LKH,2000,ALPHA,timelimit,10,10,32467423.844,6958.101199999995
VSR-LKH+Neuro(feat),2000,ALPHA,timelimit,10,26,32450666.48,7006.673456999994
LKH,2000,ALPHA,timelimit,100,100,32455504.166,9561.646893999998
VSR-LKH+Neuro(feat),2000,ALPHA,timelimit,100,36,32449513.589,9658.960757000006
LKH,2000,ALPHA,timelimit,1000,1000,32448926.521,32848.24186599996
VSR-LKH+Neuro(feat),2000,ALPHA,timelimit,1000,123,32447473.231,32904.15411400002
LKH,5000,ALPHA,trials,1,1,51025201.301,43647.18910099995
VSR-LKH+Neuro(feat),5000,ALPHA,trials,1,1,51026035.235,41327.91653800001
LKH,5000,ALPHA,trials,10,10,50998871.393,45425.335717
VSR-LKH+Neuro(feat),5000,ALPHA,trials,10,10,50989311.259,45898.502237000066
LKH,5000,ALPHA,trials,100,100,50976940.497,52899.90871400006
VSR-LKH+Neuro(feat),5000,ALPHA,trials,100,100,50966816.913,95673.17482799986
LKH,5000,ALPHA,trials,1000,1000,50965119.166,119523.35665200006
VSR-LKH+Neuro(feat),5000,ALPHA,trials,1000,1000,50961672.298,569617.4705390007
LKH,5000,ALPHA,timelimit,1,1,51025201.301,43647.18910099995
VSR-LKH+Neuro(feat),5000,ALPHA,timelimit,1,6,50997829.577,43880.12601500001
LKH,5000,ALPHA,timelimit,10,10,50998871.393,45425.335717
VSR-LKH+Neuro(feat),5000,ALPHA,timelimit,10,10,50989311.259,45898.502237000066
LKH,5000,ALPHA,timelimit,100,100,50976940.497,52899.90871400006
VSR-LKH+Neuro(feat),5000,ALPHA,timelimit,100,24,50977379.404,53099.41241599997
LKH,5000,ALPHA,timelimit,1000,1000,50965119.166,119523.35665200006
VSR-LKH+Neuro(feat),5000,ALPHA,timelimit,1000,142,50965331.095,119769.70268199992
NeuroLKH,100,ALPHA,trials,1,1,7753893.081,25.10011205
NeuroLKH,100,ALPHA,trials,10,10,7753448.821,34.03236205
NeuroLKH,100,ALPHA,trials,100,100,7753271.468,116.1314351
NeuroLKH,100,ALPHA,trials,1000,1000,7753246.499,922.3599021
NeuroLKH,100,ALPHA,timelimit,1,16,7753382.223,39.52380705
NeuroLKH,100,ALPHA,timelimit,10,29,7753345.804,51.54272805
NeuroLKH,100,ALPHA,timelimit,100,146,7753269.697,157.5113661
NeuroLKH,100,ALPHA,timelimit,1000,1000,7753246.499,922.3599021
LKH,500,ALPHA,trials,1,1,16556610.247,458.07989000000055
VSR-LKH,500,ALPHA,trials,1,1,16556220.931,481.7414610000001
LKH,500,ALPHA,trials,10,10,16548019.776,596.357963
VSR-LKH,500,ALPHA,trials,10,10,16547151.286,650.921679
LKH,500,ALPHA,trials,100,100,16543726.223,1532.1832719999993
VSR-LKH,500,ALPHA,trials,100,100,16542312.611,2244.5441810000007
LKH,500,ALPHA,trials,1000,1000,16542125.444,10378.514314999993
VSR-LKH,500,ALPHA,trials,1000,1000,16541926.343,16072.602134000022
LKH,500,ALPHA,timelimit,1,1,16556610.247,458.07989000000055
VSR-LKH,500,ALPHA,timelimit,1,1,16556220.931,481.7414610000001
LKH,500,ALPHA,timelimit,10,10,16548019.776,596.357963
VSR-LKH,500,ALPHA,timelimit,10,7,16548635.255,596.6442530000003
LKH,500,ALPHA,timelimit,100,100,16543726.223,1532.1832719999993
VSR-LKH,500,ALPHA,timelimit,100,59,16542813.313,1545.6260569999986
LKH,500,ALPHA,timelimit,1000,1000,16542125.444,10378.514314999993
VSR-LKH,500,ALPHA,timelimit,1000,628,16541947.961,10387.302632999978
LKH,200,ALPHA,trials,1,1,10707095.722,99.05958499999996
VSR-LKH,200,ALPHA,trials,1,1,10707072.535,104.34874800000003
LKH,200,ALPHA,trials,10,10,10703735.593,138.452705
VSR-LKH,200,ALPHA,trials,10,10,10703535.854,142.67925400000027
LKH,200,ALPHA,trials,100,100,10701758.416,471.7411779999997
VSR-LKH,200,ALPHA,trials,100,100,10701407.965,2093.5922840000035
LKH,200,ALPHA,trials,1000,1000,10701350.72,3736.6681420000023
VSR-LKH,200,ALPHA,trials,1000,1000,10701302.746,21369.55274100004
LKH,200,ALPHA,timelimit,1,1,10707095.722,99.05958499999996
VSR-LKH,200,ALPHA,timelimit,1,1,10707072.535,104.34874800000003
LKH,200,ALPHA,timelimit,10,10,10703735.593,138.452705
VSR-LKH,200,ALPHA,timelimit,10,9,10703645.802,139.10420100000013
LKH,200,ALPHA,timelimit,100,100,10701758.416,471.7411779999997
VSR-LKH,200,ALPHA,timelimit,100,27,10701667.599,485.6194080000001
LKH,200,ALPHA,timelimit,1000,1000,10701350.72,3736.6681420000023
VSR-LKH,200,ALPHA,timelimit,1000,176,10701367.949,3743.0590579999935
LKH,1000,ALPHA,trials,1,1,23155937.742,1443.5941439999986
VSR-LKH,1000,ALPHA,trials,1,1,23155408.17,1456.5837690000014
LKH,1000,ALPHA,trials,10,10,23143416.968,1710.329246999996
VSR-LKH,1000,ALPHA,trials,10,10,23139738.377,1880.160143000001
LKH,1000,ALPHA,trials,100,100,23135399.752,3076.623626
VSR-LKH,1000,ALPHA,trials,100,100,23132396.785,6055.856488999999
LKH,1000,ALPHA,trials,1000,1000,23132154.461,15439.725201
VSR-LKH,1000,ALPHA,trials,1000,1000,23131438.541,39975.344439999986
LKH,1000,ALPHA,timelimit,1,1,23155937.742,1443.5941439999986
VSR-LKH,1000,ALPHA,timelimit,1,1,23155408.17,1456.5837690000014
LKH,1000,ALPHA,timelimit,10,10,23143416.968,1710.329246999996
VSR-LKH,1000,ALPHA,timelimit,10,7,23141951.527,1740.9845150000012
LKH,1000,ALPHA,timelimit,100,100,23135399.752,3076.623626
VSR-LKH,1000,ALPHA,timelimit,100,36,23134404.649,3082.151862999998
LKH,1000,ALPHA,timelimit,1000,1000,23132154.461,15439.725201
